,cpus_per_task,time_limit,count_queue,count_queue_user,mean_req_cpus,sum_req_cpus,min_req_cpus,max_req_cpus,mean_req_cpus_user,sum_req_cpus_user,min_req_cpus_user,max_req_cpus_user,mean_timelimit,sum_timelimit,min_timelimit,max_timelimit,mean_timelimit_user,sum_timelimit_user,min_timelimit_user,max_timelimit_user,mean_now_time_waiting,sum_now_time_waiting,min_now_time_waiting,max_now_time_waiting,mean_now_time_waiting_user,sum_now_time_waiting_user,min_now_time_waiting_user,max_now_time_waiting_user,count_running,count_running_user,mean_now_time_running,sum_now_time_running,min_now_time_running,max_now_time_running,mean_now_time_running_user,sum_now_time_running_user,min_now_time_running_user,max_now_time_running_user
38,1,2,21,0,1.0,4,1,1,1.0,3,1,1,2.0,8,1,3,2.3333333333333335,7,2,3,30.16839967455183,633.5363931655884,4.454113960266113,55.45411396026611,0.0,0.0,0.0,0.0,4,3,38.708601951599114,154.83440780639646,2.458601951599121,89.45860195159912,50.791935284932464,152.3758058547974,31.45860195159912,89.45860195159912
39,1,1,21,16,1.0,4,1,1,1.0,1,1,1,2.0,8,1,3,1.0,1,1,1,31.501346690314158,661.5282804965972,5.787060976028442,56.787060976028435,31.037060976028442,496.59297561645513,5.787060976028442,56.787060976028435,4,1,40.041259050369256,160.16503620147702,3.7912590503692623,90.79125905036926,3.7912590503692623,3.7912590503692623,3.7912590503692623,3.7912590503692623
40,1,1,24,18,1.0,4,1,1,1.0,1,1,1,2.0,8,1,3,1.0,1,1,1,28.348499695460006,680.36399269104,1.306833028793335,57.30683302879334,28.36238858434889,510.52299451828003,1.306833028793335,57.30683302879334,4,1,40.560590028762824,162.2423601150513,4.3105900287628165,91.31059002876282,4.3105900287628165,4.3105900287628165,4.3105900287628165,4.3105900287628165
41,1,1,24,18,1.0,4,1,1,1.0,1,1,1,2.0,8,1,3,1.0,1,1,1,30.504988590876266,732.1197261810303,3.4633219242095947,59.463321924209595,30.51887747976515,549.3397946357727,3.4633219242095947,59.463321924209595,4,1,42.716984033584595,170.86793613433838,6.466984033584595,93.4669840335846,6.466984033584595,6.466984033584595,6.466984033584595,6.466984033584595
42,1,1,26,20,1.0,3,1,1,0.0,0,0,0,2.3333333333333335,7,2,3,0.0,0,0,0,33.72870041773869,876.946210861206,5.921008110046388,64.92100811004639,33.071008110046385,661.4201622009277,5.921008110046388,64.92100811004639,3,0,60.25791939099629,180.7737581729889,40.92458605766296,98.92458605766295,0.0,0.0,0.0,0.0
43,1,1,25,19,1.0,3,1,1,1.0,1,1,1,2.0,6,1,3,1.0,1,1,1,34.03490406036377,850.8726015090942,7.4749040603637695,64.47490406036377,32.948588270890085,626.0231771469116,7.4749040603637695,64.47490406036377,3,1,29.145270744959518,87.43581223487854,2.4786040782928467,42.478604078292854,2.4786040782928467,2.4786040782928467,2.4786040782928467,2.4786040782928467
44,1,2,26,5,1.0,4,1,1,0.0,0,0,0,1.75,7,1,3,0.0,0,0,0,32.30317135957571,839.8824553489685,2.4185559749603267,64.41855597496033,44.61855597496033,223.09277987480164,24.418555974960327,64.41855597496033,4,0,23.6721510887146,94.6886043548584,1.4221510887145996,44.4221510887146,0.0,0.0,0.0,0.0
45,1,1,27,20,1.0,4,1,1,1.0,2,1,1,1.75,7,1,3,1.0,2,1,1,38.236431660475546,1032.38365483284,7.5327279567718515,71.53272795677184,37.28272795677185,745.654559135437,9.532727956771849,71.53272795677184,4,2,30.78621506690979,123.14486026763916,8.53621506690979,51.53621506690979,10.036215066909788,20.072430133819577,8.53621506690979,11.53621506690979
46,1,1,27,20,1.0,3,1,1,1.0,1,1,1,2.0,6,1,3,1.0,1,1,1,39.23688870889169,1059.3959951400757,8.533185005187987,72.53318500518799,38.283185005187995,765.6637001037598,10.533185005187988,72.53318500518799,3,1,38.203237692515046,114.60971307754515,9.536571025848387,52.53657102584839,9.536571025848387,9.536571025848387,9.536571025848387,9.536571025848387
47,1,1,28,21,1.0,4,1,1,1.0,2,1,1,1.75,7,1,3,1.0,2,1,1,37.672812359673635,1054.8387460708618,2.8870980739593506,74.88709807395934,35.45852664538792,744.6290595531464,2.8870980739593506,73.88709807395934,4,2,30.640536069869995,122.56214427947998,0.8905360698699951,54.890536069869995,6.390536069869995,12.78107213973999,0.8905360698699951,11.890536069869995
48,1,1,28,21,1.0,3,1,1,1.0,1,1,1,2.0,6,1,3,1.0,1,1,1,40.23094023977007,1126.466326713562,5.445225954055786,77.4452259540558,38.016654525484356,798.3497450351715,5.445225954055786,76.4452259540558,3,1,39.449573040008545,118.34871912002563,3.449573040008545,57.44957304000854,3.449573040008545,3.449573040008545,3.449573040008545,3.449573040008545
49,1,2,28,6,1.0,3,1,1,0.0,0,0,0,2.0,6,1,3,0.0,0,0,0,40.541051285607466,1135.1494359970093,5.7553369998931885,77.75533699989319,50.58867033322653,303.53202199935913,13.755336999893188,77.75533699989319,3,0,39.75897908210755,119.27693724632263,3.758979082107544,57.75897908210754,0.0,0.0,0.0,0.0
50,1,1,28,6,1.0,3,1,1,0.0,0,0,0,2.0,6,1,3,0.0,0,0,0,40.945417301995406,1146.4716844558714,6.159703016281128,78.15970301628113,50.99303634961446,305.95821809768677,14.159703016281128,78.15970301628113,3,0,40.16356110572815,120.49068331718443,4.1635611057281485,58.16356110572815,0.0,0.0,0.0,0.0
51,1,2,28,6,1.0,3,1,1,0.0,0,0,0,2.0,6,1,3,0.0,0,0,0,41.24863733564104,1154.9618453979492,6.462923049926758,78.46292304992677,51.2962563832601,307.77753829956055,14.462923049926758,78.46292304992677,3,0,40.46726298332215,121.40178894996643,4.467262983322144,58.467262983322144,0.0,0.0,0.0,0.0
52,1,2,31,8,1.0,4,1,1,0.0,0,0,0,1.75,7,1,3,0.0,0,0,0,35.92993717039786,1113.8280522823334,1.3815500736236572,79.38155007362366,39.63155007362366,317.05240058898926,1.3815500736236572,79.38155007362366,4,0,31.38553690910339,125.54214763641356,1.3855369091033936,59.385536909103394,0.0,0.0,0.0,0.0
