job_id,slurm_estimation
276,1006.717831
277,1062.311245
278,32212256916.86076
279,32212256915.25507
280,32212258053.405533
281,32212256912.77636
282,32212258109.60388
283,32212256908.99284
284,32212256967.652016
285,1047.23793
286,32212258164.904457
287,32212258139.860477
288,32212256879.352394
289,32212256939.83931
290,32212256879.723377
291,32212256992.705727
292,32212256991.805264
293,32212257050.894184
294,32212257050.39809
295,32212258199.600723
296,32212258304.503418
297,32212256982.75363
298,32212257041.190483
299,32212257036.54086
300,32212258355.52668
301,32212257034.196438
302,32212257033.180096
303,32212257090.218494
304,32212257079.33378
305,32212258396.992683
306,32212257073.604595
307,32212257072.796703
308,32212257132.294968
309,32212257128.805073
310,32212258447.01137
311,32212257125.088383
312,32212257122.950245
313,32212257180.399647
314,32212257179.286674
315,955.398299
316,1012.54889
317,32212257231.488102
318,32212257286.396736
319,32212257285.87643
320,32212257239.93175
321,1003.027176
322,32212258661.076515
323,32212257339.045338
324,32212258717.588726
325,32212257337.19752
326,32212258715.997803
327,1055.934614
328,32212257395.21659
329,32212257395.027245
330,32212257391.825886
331,32212257419.38151
332,32212258844.119038
333,32212257402.1873
334,32212257458.62257
335,32212257458.018707
336,32212258897.098915
337,32212257453.881187
338,32212258953.584106
339,1051.310707
340,32212257510.167995
341,1045.54854
342,32212257564.60405
343,32212257561.249184
344,32212257597.336403
345,32212257596.524204
346,32212259094.33266
347,32212257591.442085
348,32212259147.579494
349,1125.818564
350,32212257636.368553
351,32212257633.915024
352,32212257693.612278
353,32212257692.788124
354,32212257689.901337
355,32212259249.589886
356,32212257685.18357
357,32212259303.634068
358,32212259298.093998
359,32212257735.604618
360,32212259354.283524
361,32212259412.359776
362,32212257731.848587
363,32212259409.26137
364,32212257727.412815
365,32212257726.91522
366,32212257782.432365
367,32212257780.594624
368,32212257801.002342
369,32212257790.23661
370,32212257719.687702
371,32212257719.38556
372,32212257779.766655
373,32212257755.92586
374,32212257752.233746
375,32212259488.72829
376,32212257748.224407
377,32212257745.31703
378,32212257820.973316
379,32212259559.517025
380,32212257815.264866
381,994.849781
382,32212257871.647762
383,32212257869.10122
384,32212257927.860207
385,32212259666.723953
386,32212257924.467495
387,32212259723.519215
388,32212257916.324867
389,32212259775.82171
390,974.078404
391,32212259830.475006
392,32212257970.408333
393,32212257009.618004
394,32212258026.497875
395,32212256999.162327
396,32212256990.52716
397,32212256990.01655
398,32212257047.10923
399,32212257059.136765
400,32212257058.306293
401,32212257055.600765
402,32212259994.352585
403,32212259994.168533
404,32212258132.215908
405,32212258165.587
406,32212257083.737503
407,32212260074.830345
408,32212257074.431652
409,32212256999.375584
410,32212256999.313133
411,32212260059.45191
412,32212257009.362022
413,32212258148.851646
414,32212257068.310265
415,32212260119.09689
