cpus_per_task,time_limit,job_name,user_id,count_queue,count_queue_user,mean_req_cpus,sum_req_cpus,min_req_cpus,max_req_cpus,mean_req_cpus_user,sum_req_cpus_user,min_req_cpus_user,max_req_cpus_user,mean_timelimit,sum_timelimit,min_timelimit,max_timelimit,mean_timelimit_user,sum_timelimit_user,min_timelimit_user,max_timelimit_user,mean_now_time_waiting,sum_now_time_waiting,min_now_time_waiting,max_now_time_waiting,mean_now_time_waiting_user,sum_now_time_waiting_user,min_now_time_waiting_user,max_now_time_waiting_user,count_running,count_running_user,mean_now_time_running,sum_now_time_running,min_now_time_running,max_now_time_running,mean_now_time_running_user,sum_now_time_running_user,min_now_time_running_user,max_now_time_running_user
1,2,job_236_test_only,10002,117,39,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,169.68283611892636,19852.891825914383,2.62300705909729,488.6230070590973,225.95634039243063,8812.297275304794,5.62300705909729,423.6230070590973,4,4,20.87958598136902,83.51834392547607,10.629585981369019,36.62958598136902,20.87958598136902,83.51834392547607,10.629585981369019,36.62958598136902
1,2,job_236,10002,117,39,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,169.72907907127316,19858.30225133896,2.669250011444092,488.6692500114441,226.00258334477743,8814.10075044632,5.669250011444092,423.6692500114441,4,4,20.92313504219055,83.6925401687622,10.673135042190552,36.67313504219055,20.92313504219055,83.6925401687622,10.673135042190552,36.67313504219055
1,2,job_237__test_only,10003,118,26,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,172.08529573375895,20306.064896583557,4.458177089691162,492.45817708969116,216.76586939738348,5635.91260433197,6.458177089691162,492.45817708969116,4,0,24.71481704711914,98.85926818847656,14.46481704711914,40.46481704711914,0,0.0,0,0
1,2,job_237,10003,118,26,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,172.1315346329899,20311.52108669281,4.504415988922119,492.5044159889221,216.81210829661444,5637.114815711975,6.504415988922119,492.5044159889221,4,0,24.758105039596558,99.03242015838623,14.508105039596558,40.50810503959656,0,0.0,0,0
1,2,job_238_test_only,10002,118,40,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,173.00963073665812,20415.13642692566,5.382512092590332,493.38251209259033,225.08251209259032,9003.300483703613,5.382512092590332,428.38251209259033,4,4,25.639235019683838,102.55694007873535,15.389235019683838,41.38923501968384,25.639235019683838,102.55694007873535,15.389235019683838,41.38923501968384
1,2,job_238,10002,118,40,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,173.05525856907084,20420.52051115036,5.428139925003052,493.42813992500305,225.12813992500304,9005.125597000122,5.428139925003052,428.42813992500305,4,4,25.68229603767395,102.7291841506958,15.43229603767395,41.43229603767395,25.68229603767395,102.7291841506958,15.43229603767395,41.43229603767395
1,1,job_239_test_only,10001,118,52,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,173.3088605969639,20450.445550441742,5.681741952896118,493.6817419528961,110.91251118366534,5767.450581550598,11.681741952896118,237.68174195289612,4,0,25.935226917266846,103.74090766906738,15.685226917266846,41.685226917266846,0,0.0,0,0
1,1,job_239,10001,118,52,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,173.3437796204777,20454.56599521637,5.716660976409912,493.7166609764099,110.94743020717914,5769.266370773315,11.716660976409912,237.7166609764099,4,0,25.9709210395813,103.8836841583252,15.720921039581299,41.7209210395813,0,0.0,0,0
1,1,job_240_test_only,10002,121,41,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,176.52563495281314,21359.60182929039,8.170263051986694,501.1702630519867,227.38977524710864,9322.980785131454,8.170263051986694,436.1702630519867,4,4,33.42736792564392,133.70947170257568,23.17736792564392,49.17736792564392,33.42736792564392,133.70947170257568,23.17736792564392,49.17736792564392
1,1,job_240,10002,121,41,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,176.57303495052432,21365.337229013443,8.217663049697876,501.2176630496979,227.43717524481983,9324.924185037613,8.217663049697876,436.2176630496979,4,4,33.4712450504303,133.8849802017212,23.221245050430298,49.2212450504303,33.4712450504303,133.8849802017212,23.221245050430298,49.2212450504303
1,1,job_241_test_only,10001,122,53,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,178.04963208417422,21722.055114269257,3.139796018600464,504.13979601860046,119.29073941482687,6322.409188985825,11.139796018600464,248.13979601860046,4,0,36.395833015441895,145.58333206176758,26.145833015441895,52.145833015441895,0,0.0,0,0
1,1,job_241,10001,122,53,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,178.0934851286841,21727.405185699463,3.1836490631103516,504.18364906311035,119.33459245933676,6324.733400344849,11.183649063110352,248.18364906311035,4,0,36.437227964401245,145.74891185760498,26.187227964401245,52.187227964401245,0,0.0,0,0
1,1,job_242_test_only,10001,122,53,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,180.0841601012183,21970.267532348633,5.174324035644531,506.17432403564453,121.32526743187094,6430.23917388916,13.174324035644531,250.17432403564453,4,0,38.429874897003174,153.7194995880127,28.179874897003174,54.179874897003174,0,0.0,0,0
1,1,job_242,10001,122,53,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,180.12568498830325,21975.333568572998,5.215848922729492,506.2158489227295,121.3667923189559,6432.439992904663,13.215848922729492,250.2158489227295,4,0,38.46951508522034,153.87806034088135,28.219515085220337,54.21951508522034,0,0.0,0,0
1,2,job_243_test_only,10002,124,42,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,178.84863760394435,22177.2310628891,1.824444055557251,507.82444405555725,228.63396786508105,9602.626650333405,6.824444055557251,442.82444405555725,4,4,40.07743310928345,160.3097324371338,29.827433109283447,55.82743310928345,40.07743310928345,160.3097324371338,29.827433109283447,55.82743310928345
1,2,job_243,10002,124,42,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,178.8796074621139,22181.071325302124,1.8554139137268066,507.8554139137268,228.6649377232506,9603.927384376526,6.855413913726807,442.8554139137268,4,4,40.10835099220276,160.43340396881104,29.85835099220276,55.85835099220276,40.10835099220276,160.43340396881104,29.85835099220276,55.85835099220276
1,2,job_244_test_only,10002,124,42,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,179.44812943858486,22251.56805038452,2.423935890197754,508.42393589019775,229.23345969972155,9627.805307388306,7.423935890197754,443.42393589019775,4,4,40.680490016937256,162.72196006774902,30.430490016937256,56.430490016937256,40.680490016937256,162.72196006774902,30.430490016937256,56.430490016937256
1,2,job_244,10002,124,42,1.0,4,1,1,1.0,4,1,1,1.75,7,1,2,1.75,7,1,2,179.49551250857692,22257.443551063538,2.4713189601898193,508.4713189601898,229.28084276971362,9629.795396327972,7.471318960189819,443.4713189601898,4,4,40.72491407394409,162.89965629577637,30.474914073944092,56.47491407394409,40.72491407394409,162.89965629577637,30.474914073944092,56.47491407394409
1,1,job_245_test_only,10001,124,55,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,179.6357145540176,22274.82860469818,2.611521005630493,508.6115210056305,119.39333918744867,6566.633655309677,2.611521005630493,252.6115210056305,4,0,40.86683893203735,163.4673557281494,30.616838932037354,56.61683893203735,0,0.0,0,0
1,1,job_245,10001,124,55,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,179.67271163386684,22279.416242599487,2.6485180854797363,508.64851808547974,119.43033626729792,6568.6684947013855,2.6485180854797363,252.64851808547974,4,0,40.90199899673462,163.60799598693848,30.65199899673462,56.65199899673462,0,0.0,0,0
1,1,job_246_test_only,10001,124,55,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,180.55282165927272,22388.549885749817,3.52862811088562,509.5286281108856,120.3104462927038,6617.074546098709,3.52862811088562,253.52862811088562,4,0,41.78488111495972,167.13952445983887,31.534881114959717,57.53488111495972,0,0.0,0,0
1,1,job_246,10001,124,55,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,180.5972964994369,22394.064765930176,3.5731029510498047,509.5731029510498,120.35492113286799,6619.520662307739,3.5731029510498047,253.5731029510498,4,0,41.82681703567505,167.3072681427002,31.57681703567505,57.57681703567505,0,0.0,0,0
1,1,job_247_test_only,10001,124,55,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,182.10838749331813,22581.440049171448,5.08419394493103,511.08419394493103,121.86601212674921,6702.630666971207,5.08419394493103,255.08419394493103,4,0,43.33943700790405,173.3577480316162,33.08943700790405,59.08943700790405,0,0.0,0,0
1,1,job_247,10001,124,55,1.0,4,1,1,0,0,0,0,1.75,7,1,2,0,0,0,0,182.14849355143886,22586.413200378418,5.124300003051758,511.12430000305176,121.90611818486994,6704.836500167847,5.124300003051758,255.12430000305176,4,0,43.37815809249878,173.51263236999512,33.12815809249878,59.12815809249878,0,0.0,0,0
1,1,job_248_test_only,10001,127,58,1.0,4,1,1,0,0,0,0,2.0,8,2,2,0,0,0,0,180.589691828555,22934.890862226486,9.692054033279419,520.6920540332794,125.2610195505208,7265.139133930206,9.692054033279419,264.6920540332794,4,0,24.44703197479248,97.78812789916992,0.6970319747924805,48.69703197479248,0,0.0,0,0
1,1,job_248,10001,127,58,1.0,4,1,1,0,0,0,0,2.0,8,2,2,0,0,0,0,180.62217779046907,22939.016579389572,9.724539995193481,520.7245399951935,125.29350551243486,7267.023319721222,9.724539995193481,264.7245399951935,4,0,24.477631092071533,97.91052436828613,0.7276310920715332,48.72763109207153,0,0.0,0,0
1,1,job_249_test_only,10001,128,59,1.0,4,1,1,0,0,0,0,2.0,8,2,2,0,0,0,0,185.15533351898193,23699.882690429688,6.663146018981934,526.6631460189819,129.120773137626,7618.125615119934,6.663146018981934,270.66314601898193,4,0,30.416493892669678,121.66597557067871,6.666493892669678,54.66649389266968,0,0.0,0,0
1,1,job_249,10001,128,59,1.0,4,1,1,0,0,0,0,2.0,8,2,2,0,0,0,0,185.18905544281006,23704.199096679688,6.696867942810059,526.6968679428101,129.15449506145413,7620.1152086257935,6.696867942810059,270.69686794281006,4,0,30.450079917907715,121.80031967163086,6.700079917907715,54.700079917907715,0,0.0,0,0
1,1,job_250_test_only,10001,129,60,1.0,4,1,1,0,0,0,0,2.0,8,2,2,0,0,0,0,194.4587685766146,25085.181146383286,11.396753072738647,537.3967530727386,137.7134197394053,8262.805184364319,11.396753072738647,281.39675307273865,4,0,41.15348291397095,164.6139316558838,17.403482913970947,65.40348291397095,0,0.0,0,0
